Request Id,request_e2e_time,request_e2e_time_normalized,request_execution_time,request_execution_time_normalized,request_model_execution_time,request_model_execution_time_normalized,request_preemption_time,request_scheduling_delay,request_execution_plus_preemption_time,request_execution_plus_preemption_time_normalized,prefill_e2e_time,prefill_time_execution_plus_preemption,prefill_time_execution_plus_preemption_normalized,decode_time_execution_plus_preemption_normalized,request_inter_arrival_delay,request_num_tokens,request_num_prefill_tokens,request_num_decode_tokens,request_pd_ratio,request_num_restarts
50,68.37647130280595,0.13354779551329288,29.95717034606463,0.05851009833215748,29.95717034606463,0.05851009833215748,0.0,38.41930095673999,29.95717034606463,0.05851009833215748,39.085770993622276,0.6664700368822878,0.0003254248226964296,0.05720839904137437,0.9246455005048944,2560,2048,512,4.0,0
51,68.43825505140428,0.133668466897274,29.954607466064626,0.05850509270715747,29.954607466064626,0.05850509270715747,0.0,38.483647585338346,29.954607466064626,0.05850509270715747,39.081471381147196,0.5978237958088499,0.00029190615029729,0.057337468105970874,0.4701970329074783,2560,2048,512,4.0,0
52,71.14993669523685,0.13896472010788447,29.953500266064655,0.05850293020715753,29.953500266064655,0.05850293020715753,0.0,41.196436429170106,29.953500266064655,0.05850293020715753,41.774649786026586,0.5782133568564802,0.00028233074065257824,0.05737360724455129,0.6211586422799797,2560,2048,512,4.0,0
53,71.6745709058249,0.1568371354613236,30.16574570680058,0.06600819629496844,30.16574570680058,0.06600819629496844,0.5306653020236922,40.97815989699781,30.69641100882427,0.06716938951602686,41.56278045385427,0.5846205568564642,0.00027799360763502816,0.06589013228002324,5.518305586691056,2560,2048,512,4.0,1
54,72.83256128320463,0.14225109625625904,29.639208633294693,0.0578890793619037,29.639208633294693,0.0578890793619037,0.0,43.19335264990721,29.639208633294693,0.0578890793619037,43.84053052678951,0.6471778768822958,0.0003160048226964335,0.05662506007112328,2.088449269411754,2560,2048,512,4.0,0
55,71.46767302071794,0.13958529886858972,29.63399084529468,0.05787888836971617,29.63399084529468,0.05787888836971617,0.0,41.833682175420506,29.63399084529468,0.05787888836971617,42.47528997230279,0.6416077968822833,0.0003132850570714274,0.05662574814143584,1.878765655992538,2560,2048,512,4.0,0
56,71.61136343150554,0.13986594420215925,29.639344925294672,0.05788934555721616,29.639344925294672,0.05788934555721616,0.0,41.97201850620809,29.639344925294672,0.05788934555721616,42.611859023090375,0.6398405168822876,0.0003124221273839295,0.056639657047685865,0.37540477071823375,2560,2048,512,4.0,0
57,69.51333265958657,0.135768227850755,29.64071028529467,0.05789201227596615,29.64071028529467,0.05789201227596615,0.0,39.87262237428915,29.64071028529467,0.05789201227596615,40.511172171171424,0.6385497968822733,0.0003117918930089225,0.056644844703935826,2.612208913424766,2560,2048,512,4.0,0
58,69.66938367947652,0.1360730149989776,29.643231565294663,0.05789693665096614,29.643231565294663,0.05789693665096614,0.0,40.026152114179084,29.643231565294663,0.05789693665096614,40.642655376260805,0.6165032620817215,0.00030102698343834056,0.0566928287172182,0.35682440161588147,2560,2048,512,4.0,0
59,73.03466661088814,0.20748484832638675,30.155909235869725,0.08567019669281171,30.155909235869725,0.08567019669281171,0.2412115009198601,42.63754587409579,30.397120736789585,0.08635545663860678,43.212704030952295,0.575158156856503,0.00026048829567776403,0.08472148460209046,0.9543157333886967,2560,2048,512,4.0,1
